UserId,RatioTC
2141185,0
3856186,0
4717544,0
5697765,0
7755163,0
2800587,0
6516369,0
167316,0
2204931,0
1880550,0
3811871,0
10215959,0
2273407,0
7784194,0
1899462,0
1067730,0
6523171,0
683025,0
3115098,0
2516785,0
3448923,0
638595,0
3987780,0
1085048,0
1225543,0
2805507,0
573844,0
2989341,0
9138982,0
137730,0
18093,0
2379216,0
1353988,0
1434644,0
3118772,0
1146646,0
6665784,0
4303933,0
4617883,0
67838,0
660004,0
5139049,0
324399,0
2902007,0
208465,0
1121239,0
6697354,0
3074515,0
3154782,0
1442269,0
632687,0
3533074,0
164089,0
1841181,0
552038,0
3885731,0
5057628,0
4308354,0
3877393,0
6381096,0
7191172,0
1850223,0
223042,0
1050261,0
713981,0
3978904,0
1213207,0
1643334,0
4626355,0
4963599,0
3572210,0
1131027,0
228259,0
537865,0
557012,0
4811285,0
1237542,0
3008052,0
1517783,0
93729,0
84401,0
1085737,0
455339,0
1041936,0
3080438,0
122309,0
2315405,0
815837,0
4036780,0
4851900,0
75192,0
5662524,0
145792,0
676956,0
2241008,0
46194,0
6168433,0
2647342,0
25457,0
1132836,0
817419,0
1086294,0
3906361,0
3554076,0
3168630,0
855760,0
947934,0
6313067,0
3954482,0
418644,0
1973634,0
5000226,0
1707781,0
2501430,0
3420988,0
2013924,0
2596213,0
1751487,0
3410060,0
572455,0
372765,0
2787486,0
3968719,0
2345220,0
3425130,0
2948251,0
578870,0
1303608,0
3376305,0
5831897,0
3520052,0
4850329,0
8283939,0
715404,0
371320,0
2146048,0
302517,0
2763635,0
2015453,0
4188393,0
4253799,0
483499,0
2755084,0
1933351,0
854111,0
4320092,0
1665504,0
233356,0
827617,0
330464,0
4508168,0
951283,0
6427566,0
783000,0
1539943,0
967448,0
1033624,0
1972210,0
1602453,0
9240261,0
1802256,0
1383990,0
949376,0
470789,0
3979245,0
1718425,0
207646,0
3486310,0
98726,0
1720669,0
213471,0
1801202,0
510238,0
3780049,0
519380,0
1916002,0
243709,0
1015602,0
2661158,0
1712016,0
1891448,0
2366089,0
1563139,0
379641,0
3450840,0
282855,0
2484762,0
1514265,0
2553952,0
5415234,0
4850642,0
893868,0
2024011,0
1822112,0
5756210,0
6340192,0
4578953,0
768804,0
511205,0
4121714,0
568355,0
4346664,0
3580273,0
1044394,0
1271437,0
1250729,0
577264,0
1033570,0
92506,0
4094312,0
1187242,0
700771,0
104344,0
940731,0
3734116,0
3642077,0
2155387,0
119116,0
4370279,0
4885127,0
6656894,0
909655,0
244727,0
6012880,0
2778929,0
3750500,0
5742681,0
2059996,0
653473,0
4860751,0
4587974,0
5145004,0
4526014,0
5114758,0
7201181,0
5615012,0
3955736,0
1138663,0
7054827,0
5882337,0
3074467,0
3349849,0
5693350,0
4041476,0
8925428,0
1382210,0
2068320,0
879860,0
565166,0
2073032,0
3369001,0
4853976,0
4193769,0
4656845,0
884143,0
175850,0
3050333,0
2060823,0
821666,0
5056665,0
921435,0
1679349,0
1719953,0
5217740,0
741519,0
667867,0
7948068,0
82287,0
6528560,0
20398,0
2445124,0
207769,0
6178173,0
4489124,0
1349787,0
5052645,0
1121963,0
3924614,0
1428238,0
1483258,0
5447266,0
1001515,0
4018785,0
680915,0
881658,0
1372577,0
1679865,0
1195776,0
7740365,0
5830202,0
7356278,0
1610251,0
1616959,0
470370,0
6760962,0
2686143,0
1368730,0
80268,0
2507782,0
792315,0
5980010,0
356061,0
1092892,0
360057,0
536172,0
275375,0
6377595,0
90756,0
895558,0
5503590,0
4676346,0
855275,0
1728469,0
5740760,0
7292,0
2468010,0
1024427,0
3471440,0
242079,0
587736,0
3789045,0
3279849,0
3245937,0
2936424,0
96854,0
787458,0
1618861,0
762936,0
75006,0
791686,0
258113,0
1145114,0
2333021,0
676342,0
1183537,0
1318711,0
887978,0
753012,0
31722,0
2598660,0
2691215,0
1031929,0
1010868,0
4136561,0
755786,0
2511361,0
1660564,0
5512611,0
2073862,0
410710,0
90859,0
5225363,0
2244286,0
833647,0
2111515,0
6039863,0
5919456,0
8360862,0
2712391,0
1160623,0
2100267,0
1347357,0
3996962,0
6914088,0
6394507,0
1955713,0
627804,0
4268443,0
1102228,0
49889,0
446105,0
6274930,0
5741894,0
670362,0
200731,0
1032055,0
2609147,0
2000904,0
671759,0
962655,0
2674054,0
643884,0
610081,0
3563013,0
893952,0
581084,0
2215618,0
390227,0
2039295,0
7469492,0
2165406,0
3471772,0
2807403,0
533089,0
409579,0
27667,0
755428,0
4277741,0
282649,0
4661149,0
765658,0
3469691,0
3636214,0
2747560,0
7082760,0
207427,0
4041297,0
560612,0
1313863,0
3436710,0
3634867,0
7416931,0
2229404,0
495415,0
3627522,0
1197132,0
3675223,0
8302901,0
7822721,0
4276007,0
9476512,0
1885587,0
3140800,0
3454208,0
3933585,0
1870519,0
70660,0
4337311,0
96346,0
375799,0
229917,0
1231271,0
28200,0
531321,0
192223,0
331665,0
653632,0
5788849,0
2741458,0
3853188,0
330578,0
1061567,0
597222,0
499216,0
2527577,0
2258267,0
548655,0
269108,0
165108,0
686421,0
2317532,0
3236303,0
3185357,0
2865923,0
935614,0
88204,0
1112547,0
8476022,0
6536104,0
3496800,0
8768961,0
3715588,0
5723841,0
786408,0
1793425,0
1246682,0
4147506,0
2416451,0
1096109,0
1548740,0
3506853,0
7053606,0
5556932,0
2928298,0
1625213,0
9429449,0
129179,0
1328718,0
6670966,0
7114859,0
5223394,0
320374,0
170347,0
6377922,0
64897,0
2163721,0
9438221,0
230429,0
4881352,0
703827,0
1620709,0
241378,0
4680681,0
1057851,0
1368028,0
4458,0
142647,0
127846,0
1398964,0
404917,0
2044362,0
130006,0
3003753,0
177743,0
944842,0
2095843,0
790795,0
2870187,0
1645154,0
288072,0
59401,0
1568532,0
5789519,0
1966728,0
8018798,0
5777211,0
1530871,0
3657087,0
54449,0
973908,0
473870,0
1316950,0
471401,0
1887000,0
5496,0
487,0
1638091,0
294773,0
1153358,0
3758898,0
2687200,0
396747,0
606322,0
2165382,0
1141575,0
463183,0
1028379,0
226960,0
2523951,0
2073186,0
730814,0
444514,0
1175802,0
1058011,0
862382,0
1005920,0
43028,0
2630668,0
2514995,0
3618341,0
389430,0
31109,0
2261315,0
867387,0
987262,0
4247466,0
5125212,0
116207,0
1215753,0
1202278,0
853030,0
514445,0
8183637,0
5549921,0
4109841,0
2030565,0
1061630,0
6800303,0
3905,0
5882,0
1711816,0
484081,0
1276124,0
477228,0
903643,0
478060,0
6412888,0
1203983,0
1412819,0
938746,0
896459,0
2502573,0
6470672,0
1066486,0
2588432,0
2681557,0
7213151,0
4375028,0
5686552,0
3834912,0
4419079,0
4112914,0
136526,0
5225926,0
2232289,0
2661826,0
2102906,0
1979406,0
127559,0
204183,0
4610540,0
1460732,0
3454072,0
2132460,0
521319,0
3412499,0
1606846,0
6681228,0
2369963,0
843545,0
1966197,0
544641,0
5664434,0
1164374,0
463910,0
1598939,0
203037,0
1929603,0
1385631,0
2185200,0
2728925,0
933343,0
2640007,0
1704634,0
4923208,0
1159139,0
2303397,0
5514539,0
360299,0
886773,0
6348730,0
454744,0
5321336,0
896052,0
831553,0
6422792,0
513960,0
1773831,0
1584653,0
4587510,0
3521652,0
193670,0
2903069,0
7289257,0
756706,0
2553057,0
432928,0
3197818,0
97874,0
5156079,0
4131583,0
7177834,0
5306756,0
2503826,0
440670,0
15968,0
4059671,0
3324348,0
5784900,0
5042767,0
2248134,0
14451,0
1039839,0
1486911,0
315387,0
1271282,0
6366256,0
122595,0
4388036,0
1703696,0
25429,0
336628,0
283933,0
1556610,0
1496122,0
158119,0
1316503,0
59587,0
917672,0
1446086,0
1435376,0
5890498,0
6206501,0
6649773,0
2745342,0
334270,0
1480946,0
3648908,0
2702730,0
5315239,0
2342558,0
2554,0
7441,0
440237,0
3452803,0
2018654,0
4657645,0
5367071,0
5958210,0
10224492,0
